origin_code,sum
8a194ac00a5ffff,0
8a194ac00a67fff,0
8a194ac00a6ffff,0
8a194ac00a77fff,886
8a194ac00a87fff,65
8a194ac00a8ffff,0
8a194ac00a97fff,39
8a194ac00a9ffff,0
8a194ac00aa7fff,0
8a194ac00aaffff,0
8a194ac00ab7fff,0
8a194ac00ac7fff,0
8a194ac00acffff,0
8a194ac00ad7fff,0
8a194ac00adffff,0
8a194ac00ae7fff,403
8a194ac00aeffff,0
8a194ac00af7fff,0
8a194ac00b07fff,426
8a194ac00b0ffff,0
8a194ac00b17fff,0
8a194ac00b1ffff,622
8a194ac00b27fff,5
8a194ac00b2ffff,265
8a194ac00b37fff,339
8a194ac00b47fff,10
8a194ac00b4ffff,0
8a194ac00b57fff,244
8a194ac00b5ffff,0
8a194ac00b67fff,0
8a194ac00b6ffff,242
8a194ac00b77fff,368
8a194ac00b87fff,95
8a194ac00b8ffff,443
8a194ac00b97fff,289
8a194ac00b9ffff,0
8a194ac00ba7fff,0
8a194ac00baffff,0
8a194ac00bb7fff,47
8a194ac00c07fff,0
8a194ac00c0ffff,0
8a194ac00c17fff,0
8a194ac00c1ffff,253
8a194ac00c27fff,2
8a194ac00c2ffff,0
8a194ac00c37fff,354
8a194ac00c47fff,35
8a194ac00c4ffff,967
8a194ac00c57fff,30
8a194ac00c5ffff,1453
8a194ac00c67fff,43
8a194ac00c6ffff,0
8a194ac00c77fff,0
8a194ac00c87fff,0
8a194ac00c8ffff,65
8a194ac00c97fff,99
8a194ac00c9ffff,0
8a194ac00ca7fff,0
8a194ac00caffff,0
8a194ac00cb7fff,352
8a194ac00cc7fff,134
8a194ac00ccffff,471
8a194ac00cd7fff,229
8a194ac00cdffff,0
8a194ac00ce7fff,18
8a194ac00ceffff,0
8a194ac00cf7fff,106
8a194ac00d07fff,54
8a194ac00d0ffff,0
8a194ac00d17fff,0
8a194ac00d1ffff,116
8a194ac00d27fff,15
8a194ac00d2ffff,0
8a194ac00d37fff,90
8a194ac00d47fff,49
8a194ac00d4ffff,108
8a194ac00d57fff,203
8a194ac00d5ffff,99
8a194ac00d67fff,88
8a194ac00d6ffff,0
8a194ac00d77fff,166
8a194ac00d87fff,29
8a194ac00d8ffff,0
8a194ac00d97fff,0
8a194ac00d9ffff,0
8a194ac00da7fff,0
8a194ac00daffff,0
8a194ac00db7fff,0
8a194ac01007fff,0
8a194ac0100ffff,0
8a194ac01017fff,0
8a194ac0101ffff,311
8a194ac01027fff,0
8a194ac0102ffff,0
8a194ac01037fff,0
8a194ac01047fff,0
8a194ac0104ffff,499
8a194ac01057fff,488
8a194ac0105ffff,9
8a194ac01067fff,0
8a194ac0106ffff,0
8a194ac01077fff,0
8a194ac01087fff,567
8a194ac0108ffff,93
8a194ac01097fff,0
8a194ac0109ffff,198
8a194ac010a7fff,0
8a194ac010affff,86
8a194ac010b7fff,0
8a194ac010c7fff,0
8a194ac010cffff,96
8a194ac010d7fff,59
8a194ac010dffff,439
8a194ac010e7fff,493
8a194ac010effff,139
8a194ac010f7fff,167
8a194ac01107fff,0
8a194ac0110ffff,0
8a194ac01117fff,0
8a194ac0111ffff,0
8a194ac01127fff,0
8a194ac0112ffff,0
8a194ac01137fff,0
8a194ac01147fff,0
8a194ac0114ffff,0
8a194ac01157fff,0
8a194ac0115ffff,0
8a194ac01167fff,0
8a194ac0116ffff,0
8a194ac01177fff,0
8a194ac01187fff,0
8a194ac0118ffff,0
8a194ac01197fff,0
8a194ac0119ffff,2
8a194ac011a7fff,0
8a194ac011affff,0
8a194ac011b7fff,0
8a194ac01207fff,0
8a194ac0120ffff,0
8a194ac01217fff,0
8a194ac0121ffff,0
8a194ac01227fff,0
8a194ac0122ffff,0
8a194ac01237fff,0
8a194ac01247fff,0
8a194ac01257fff,0
8a194ac0125ffff,384
8a194ac01267fff,0
8a194ac0126ffff,39
8a194ac01277fff,0
8a194ac01287fff,0
8a194ac0128ffff,0
8a194ac01297fff,75
8a194ac0129ffff,0
8a194ac012a7fff,0
8a194ac012affff,0
8a194ac012b7fff,0
8a194ac012c7fff,0
8a194ac012cffff,0
8a194ac012d7fff,0
8a194ac012dffff,0
8a194ac012e7fff,0
8a194ac012effff,2
8a194ac012f7fff,0
8a194ac01307fff,628
