destination_code,sum
8a194ac01627fff,1791
8a194ac0162ffff,423
8a194ac01637fff,126
8a194ac01657fff,224
8a194ac01667fff,41
8a194ac01677fff,200
8a194ac01687fff,223
8a194ac0168ffff,378
8a194ac016affff,125
8a194ac016d7fff,205
8a194ac016e7fff,63
8a194ac01707fff,55
8a194ac0170ffff,889
8a194ac01717fff,1269
8a194ac0171ffff,465
8a194ac0172ffff,404
8a194ac01737fff,12
8a194ac01757fff,195
8a194ac0175ffff,81
8a194ac01767fff,835
8a194ac01777fff,515
8a194ac0178ffff,862
8a194ac0179ffff,271
8a194ac017a7fff,164
8a194ac017affff,177
8a194ac017b7fff,146
8a194ac01807fff,1086
8a194ac01817fff,383
8a194ac0181ffff,67
8a194ac0182ffff,31
8a194ac01837fff,474
8a194ac0184ffff,4
8a194ac0188ffff,119
8a194ac01897fff,5
8a194ac018a7fff,32
8a194ac018e7fff,206
8a194ac01937fff,546
8a194ac01967fff,2
8a194ac01987fff,4
8a194ac0198ffff,68
8a194ac01997fff,251
8a194ac0199ffff,209
8a194ac019affff,52
8a194ac019b7fff,254
8a194ac01a4ffff,2
8a194ac01aeffff,2
8a194ac01b37fff,445
8a194ac01c17fff,665
8a194ac01c37fff,252
8a194ac01c67fff,293
8a194ac01c6ffff,10
8a194ac01cdffff,711
8a194ac01d07fff,209
8a194ac01d17fff,283
8a194ac01d1ffff,175
8a194ac01d2ffff,176
8a194ac01d47fff,356
8a194ac01d4ffff,248
8a194ac01d5ffff,2
8a194ac01d67fff,3
8a194ac01d6ffff,398
8a194ac01d77fff,134
8a194ac01d87fff,980
8a194ac01d8ffff,441
8a194ac01da7fff,360
8a194ac01daffff,210
8a194ac01db7fff,368
8a194ac0204ffff,610
8a194ac0205ffff,759
8a194ac0206ffff,697
8a194ac020effff,610
8a194ac02107fff,869
8a194ac0210ffff,217
8a194ac0211ffff,2
8a194ac02127fff,150
8a194ac0212ffff,505
8a194ac02147fff,184
8a194ac0214ffff,55
8a194ac02167fff,47
8a194ac0216ffff,292
8a194ac02177fff,488
8a194ac02207fff,877
8a194ac02227fff,121
8a194ac0222ffff,1444
8a194ac02237fff,309
8a194ac0224ffff,1056
8a194ac02267fff,39
8a194ac0226ffff,144
8a194ac02277fff,92
8a194ac02307fff,452
8a194ac0230ffff,1429
8a194ac02317fff,498
8a194ac0231ffff,664
8a194ac0232ffff,1006
8a194ac02337fff,1087
8a194ac02347fff,262
8a194ac02357fff,706
8a194ac0235ffff,481
8a194ac02367fff,646
8a194ac0236ffff,274
8a194ac02377fff,178
8a194ac02387fff,324
8a194ac0238ffff,63
8a194ac0239ffff,104
8a194ac023a7fff,213
8a194ac023b7fff,657
8a194ac0281ffff,256
8a194ac02827fff,76
8a194ac0288ffff,42
8a194ac028affff,981
8a194ac028c7fff,667
8a194ac028cffff,644
8a194ac028d7fff,173
8a194ac028dffff,619
8a194ac028e7fff,1668
8a194ac028effff,155
8a194ac028f7fff,732
8a194ac02a07fff,649
8a194ac02a1ffff,351
8a194ac02a27fff,205
8a194ac02a2ffff,512
8a194ac02a47fff,819
8a194ac02a57fff,445
8a194ac02a67fff,115
8a194ac02a77fff,14
8a194ac02a8ffff,199
8a194ac02a97fff,219
8a194ac02aa7fff,30
8a194ac02aaffff,100
8a194ac02ab7fff,427
8a194ac02ac7fff,324
8a194ac02acffff,896
8a194ac02ad7fff,128
8a194ac02adffff,395
8a194ac02ae7fff,33
8a194ac02af7fff,727
8a194ac02b2ffff,29
8a194ac02b47fff,474
8a194ac02b4ffff,158
8a194ac02b57fff,8
8a194ac02b5ffff,446
8a194ac02b67fff,300
8a194ac02b6ffff,721
8a194ac02b77fff,334
8a194ac02b87fff,47
8a194ac02b8ffff,273
8a194ac02b97fff,407
8a194ac02b9ffff,12
8a194ac02ba7fff,2
8a194ac02baffff,113
8a194ac02bb7fff,129
8a194ac03087fff,736
8a194ac0308ffff,1162
8a194ac030affff,433
8a194ac030b7fff,2
8a194ac030c7fff,305
8a194ac030dffff,532
8a194ac03187fff,21
8a194ac0318ffff,15
8a194ac03197fff,388
8a194ac0319ffff,718
8a194ac031a7fff,219
8a194ac031affff,39
8a194ac0330ffff,196
8a194ac03357fff,94
8a194ac0340ffff,994
8a194ac0342ffff,1003
8a194ac03447fff,6
8a194ac03457fff,523
8a194ac0346ffff,22
8a194ac03477fff,97
8a194ac03487fff,52
8a194ac034a7fff,773
8a194ac034f7fff,1360
8a194ac0354ffff,357
