,origin_code,origin_lon,origin_lat,destination_code,dest_lon,dest_lat,od_weight
0,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194aca6a77fff,-0.30585708018456886,51.36776650607308,2
1,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad1581ffff,-0.09431567213668832,51.47937420192442,11
2,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad20cc7fff,0.0014613562231043332,51.503054367086506,145
3,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad30ab7fff,-0.07092781040011864,51.511496522332,29
4,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad84337fff,-0.2573391746442095,51.463022851626924,161
5,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad8c367fff,-0.22271647930280472,51.40590295483086,19
6,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad8ccc7fff,-0.2386528634667666,51.417657568687105,99
7,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad916e7fff,-0.3473082308211455,51.437087734112055,111
8,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad9944ffff,-0.3174799866000733,51.38883277635626,6
9,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad99b87fff,-0.2996371605703205,51.390834688675,208
10,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad9b9affff,-0.33447916177441234,51.39673515787606,2
11,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad9cb4ffff,-0.3006612977860503,51.42416821222374,58
12,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad9cb5ffff,-0.3024040148244318,51.424463593646465,4
13,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad9d10ffff,-0.29506198550806456,51.41116191920581,46
14,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad9d457fff,-0.308295312331384,51.409385621137865,10
15,8a194ad9dcdffff,-0.30438538925219866,51.41374717385386,8a194ad9d54ffff,-0.30429205338727905,51.410716927573716,5
